Sports Club Roles,Child Protection checked eg DBS?,Do you consent to Photography & Filming of your child?,Do you approve video & images of your child for Club external use?,Club Team Names,Team 1 ,Team 2,Dominant Foot,Dominant Hand,How many keepie uppies can you do?,Fav. Basketball Teams,Fav. Cricket Teams,Fav. Football (Soccer) Team,Fav. American Football Teams,Fav. Ice Hockey Teams,Preferred Positions (By Sport),,Training Frequency,Preferred Training Style,Past Injuries,Chronic Conditions,Allergies,Protective Gear Used,Sports Brand Preference,Supplements Used,,,Fav. Tennis Players,Fav. Rugby Teams,Fav. Rugby Players,Fav. Badminton Players,Fav. Squash Players,Fav. Basketball Teams,Fav. Basketball Players,Fav. MMA Fighters,Fav. Cricket Teams,Fav. Cricket Players,Fav. Football Teams (Soccer),Fav. Football Players (Soccer),Fav. American Football Teams,Fav. American Football Players,Fav. Baseball Teams,Fav. Baseball Players,Fav. Golf Players,Fav. Ice Hockey Teams,Fav. Ice Hockey Players,Fav. Boxers,Fav. F1 Drivers,Fav. Swimmers,Fav. Entertainment & Media
Chairperson,Yes,Yes,Yes,Team 1 ,Matchday Yes,Matchday Yes,Left,Left,0-9,Argentina,Australia,Real Madrid,Dallas Cowboys,Montreal Canadiens,Football (Soccer) - Goalkeeper,,Less than once a month,Calisthenics,Concussion,Asthma,Peanuts,Helmet,"Nike (Air Zoom, Vaporfly, Mercurial)",Whey Protein,,,Novak Djokovic,New Zealand (All Blacks),Antoine Dupont,Lin Dan,Ali Farag,Argentina,LeBron James,Conor McGregor,Australia,Sachin Tendulkar,Real Madrid,Lionel Messi,Dallas Cowboys,Tom Brady,New York Yankees,Babe Ruth,Tiger Woods,Montreal Canadiens,Wayne Gretzky,Muhammad Ali,Michael Schumacher,Michael Phelps,Movies & Films
Vice Chairperson,No,No,No,Team 2,Matchday No,Matchday No,Right,Right,10-19,Australia,India,Barcelona,New England Patriots,Toronto Maple Leafs,Football (Soccer) - Centre Back,,1-2 times per month,Powerlifting,Skull Fracture,Chronic Obstructive Pulmonary Disease (COPD),Tree Nuts,Mouthguard,Nike - Vaporfly,Casein Protein,,,Carlos Alcaraz,South Africa (Springboks),Maro Itoje,Lee Chong Wei,Paul Coll,Australia,Kevin Durant,Khabib Nurmagomedov,India,Virat Kohli,Barcelona,Cristiano Ronaldo,New England Patriots,Aaron Rodgers,Boston Red Sox,Willie Mays,Jack Nicklaus,Toronto Maple Leafs,Mario Lemieux,Mike Tyson,Ayrton Senna,Ian Thorpe,TV Shows
Secretary,,,,Team 3,Training Yes,Training Yes,Both,Both,20-29,Austria,England,Manchester United,Green Bay Packers,Boston Bruins,Football (Soccer) - Full Back (Left Back),,Once a week,Functional Strength Training,Whiplash,Exercise-Induced Bronchoconstriction (EIB),Dairy,Face Shield,Nike - Mercurial,Plant-Based Protein,,,Daniil Medvedev,Australia (Wallabies),Beauden Barrett,Taufik Hidayat,Diego Elias,Austria,Giannis Antetokounmpo,Jon Jones,England,Ricky Ponting,Manchester United,Neymar Jr.,Green Bay Packers,Patrick Mahomes,Los Angeles Dodgers,Hank Aaron,Arnold Palmer,Boston Bruins,Bobby Orr,Floyd Mayweather Jr.,Lewis Hamilton,Mark Spitz,Music
Treasurer,,,,,Training No,Training No,,,30-39,Belgium,South Africa,Liverpool,Pittsburgh Steelers,Chicago Blackhawks,Football (Soccer) - Full Back (Right Back),,2-3 times per week,Resistance Bands Training,Neck Strain,Hypertension (High Blood Pressure),Eggs,Sports Goggles,Adidas - Ultraboost,Egg White Protein,,,Jannik Sinner,England,Cheslin Kolbe,Kento Momota,Mostafa Asal,Belgium,Stephen Curry,Israel Adesanya,South Africa,Brian Lara,Liverpool,Kylian Mbappe,Pittsburgh Steelers,Drew Brees,Chicago Cubs,Ted Williams,Gary Player,Chicago Blackhawks,Gordie Howe,Manny Pacquiao,Juan Manuel Fangio,Katie Ledecky,Podcasts
Welfare Officer,,,,,,,,,40-49,Brazil,Pakistan,Bayern Munich,San Francisco 49ers,Detroit Red Wings,Football (Soccer) - Defensive Midfielder,,4-5 times per week,Machine-Based training,Herniated Disc,Hypotension (Low Blood Pressure),Shellfish ,Nose Guard,Adidas - Predator,Collagen Protein,,,Andrey Rublev,Ireland,Eben Etzebeth,Chen Long,Mazen Hesham,Brazil,Luka Don?i?,Amanda Nunes,Pakistan,Jacques Kallis,Bayern Munich,Robert Lewandowski,San Francisco 49ers,Peyton Manning,San Francisco Giants,Barry Bonds,Ben Hogan,Detroit Red Wings,Maurice Richard,Sugar Ray Leonard,Alain Prost,Ryan Lochte,Theatre & Performing Arts
Discipline Officer ,,,,,,,,,Over 50,Canada,New Zealand,Juventus,Kansas City Chiefs,New York Rangers,Football (Soccer) - Central Midfielder,,6-7 times per week,Long-Distance Running,Rotator Cuff Tear,Arrhythmia (Irregular Heartbeat),Fish ,Shoulder Pads,Adidas - X Speedflow,Creatine Monohydrate,,,Casper Ruud,France,Michael Hooper,Peter Gade,Karim Abdel Gawad,Canada,Kawhi Leonard,Georges St-Pierre,New Zealand,Kumar Sangakkara,Juventus,Kevin De Bruyne,Kansas City Chiefs,Joe Montana,St. Louis Cardinals,Ken Griffey Jr.,Bobby Jones,New York Rangers,Jean Beliveau,Joe Louis,Niki Lauda,Caeleb Dressel,Celebrity News
Match Secretary  ,,,,,,,,,,China,West Indies,Paris Saint-Germain,Seattle Seahawks,Pittsburgh Penguins,Football (Soccer) - Central Attacking Midfielder,,Daily,Sprinting & Speed Work,Shoulder Dislocation,Congenital Heart Disease,Soy,Chest Protector,Puma - Future Z,Creatine Hydrochloride (HCL),,,Holger Rune,Wales,Tadhg Furlong,Rudy Hartono,Mohamed ElShorbagy,China,Nikola Joki?,Anderson Silva,West Indies,AB de Villiers,Paris Saint-Germain,Mohamed Salah,Seattle Seahawks,Brett Favre,Houston Astros,Mickey Mantle,Sam Snead,Pittsburgh Penguins,Guy Lafleur,George Foreman,Sebastian Vettel,Missy Franklin,Streaming Services
Referee Secretary ,,,,,,,,,,Croatia,Sri Lanka,Manchester City,Philadelphia Eagles,Philadelphia Flyers,Football (Soccer) - Winger (Left Wing),,,Cycling,Shoulder Impingement Syndrome,Coronary Artery Disease,Wheat / Gluten,Rib Protectors,Puma - Ultra,Beta-Alanine,,,Stefanos Tsitsipas,Scotland,Ardie Savea,Gao Ling,Tarek Momen,Croatia,James Harden,Stipe Miocic,Sri Lanka,MS Dhoni,Manchester City,Virgil van Dijk,Philadelphia Eagles,Russell Wilson,Atlanta Braves,Joe DiMaggio,Phil Mickelson,Philadelphia Flyers,Mark Messier,Rocky Marciano,Fernando Alonso,Simone Manuel,Books & Literature
Safegaurding Officer,,,,,,,,,,Czech Republic,Bangladesh,Chelsea,Chicago Bears,Washington Capitals,Football (Soccer) - Winger (Right Wing),,,Rowing,AC Joint Injury ,Peripheral Artery Disease,Sesame,Padded Compression Shirt,Under Armour - HOVR,Essential Amino Acids (EAAs),,,Taylor Fritz,Argentina (Los Pumas),Pieter-Steph du Toit,P. V. Sindhu,Joel Makin,Czech Republic,Anthony Davis,Daniel Cormier,Bangladesh,Shane Warne,Chelsea,Sadio Mane,Chicago Bears,Ben Roethlisberger,Philadelphia Phillies,Yogi Berra,Tom Watson,Washington Capitals,Sidney Crosby,Joe Frazier,Stirling Moss,Nathan Adrian,Stand-up Comedy
Manager,,,,,,,,,,Dominican Republic,Afghanistan,Arsenal,Denver Broncos,New York Islanders,Football (Soccer) - Striker (Forward / Center Forward),,,Swimming,Labrum Tear,Diabetes Type 1,Citrus Fruits ,Arm Sleeves,Under Armour - Flow Velociti,L-Arginine,,,Karen Khachanov,Italy,Romain Ntamack,Carolina Marin,Marwan ElShorbagy,Dominican Republic,Jayson Tatum,Max Holloway,Afghanistan,Wasim Akram,Arsenal,Sergio Ramos,Denver Broncos,John Elway,Toronto Blue Jays,Lou Gehrig,Seve Ballesteros,New York Islanders,Alexander Ovechkin,Larry Holmes,Jackie Stewart,Sarah Sjˆstrˆm,Animation & Cartoons
